Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
"Ghidorah, the Three-Headed Monster",nan,Ishirō Honda,"['Yōsuke Natsuki', 'Yuriko Hoshi', 'Hiroshi Koizumi', 'Takashi Shimura', 'Emi Ito', 'Yumi Ito', 'Akiko Wakabayashi', 'Hisaya Ito', 'Akihiko Hirata', 'Minoru Takada', 'Someshō Matsumoto', 'Ikio Sawamura', 'Kōzō Nomura', 'Kenji Sahara', 'Susumu Kurobe', 'Tōru Ibuki', 'Kazuo Suzuki', 'Haruya Katō', 'Shin Ōtomo', 'Senkichi Ōmura', 'Yutaka Nakayama', 'Heihachirō Ōkawa', 'Hideyo Amamoto', 'Yoshio Kosugi', 'Yoshifumi Tajima', 'Yutaka Oka', 'Kôji Uno', 'Shigeki Ishida', 'Toshihiko Furuta', 'Kotaro Tomita', 'Ichiya Aozora', 'Senya Aozora', 'Yuriko Hanabusa', 'Hideo Shibuya', 'Haruo Nakajima', 'Shōichi Hirose', 'Masaki Shinohara', 'Kōji Uruki']",3.39,nan,"['Action', 'Thriller', 'Science Fiction', 'Fantasy']",92,['Japan'],Japanese,['Japanese'],"After a meteorite unleashes a three-headed beast upon Tokyo, Mothra tries to unite with Godzilla and Rodan to battle the extraterrestrial threat.","['TOHO', 'Tokyo Laboratory']",33514,20933,10358,50,30,101,234,902,1850,6665,6795,5363,1109,1095,24144,https://letterboxd.com/film/ghidorah-the-three-headed-monster/
Dreams,nan,Akira Kurosawa,"['Akira Terao', 'Mitsuko Baisho', 'Toshie Negishi', 'Mieko Harada', 'Mitsunori Isaki', 'Toshihiko Nakano', 'Yoshitaka Zushi', 'Hisashi Igawa', 'Chosuke Ikariya', 'Chishū Ryū', 'Martin Scorsese', 'Masayuki Yui', 'Tetsuo Yamashita', 'Misato Tate', 'Catherine Cadou', 'Mieko Suzuki', 'Ryûjirô Oki', 'Masaaki Sasaki', 'Motohiro Toriki', 'Shû Nakajima', 'Masuo Amada', 'Sakae Kimura', 'Meikyo Yamada', 'Tetsu Watanabe', 'Tetsuya Ito', 'Hiroshi Miyasaka', 'Toshiya Ito', 'Takashi Itô', 'Yasuhito Yamanaka', 'Haruka Sugata', 'Noriko Hayami', 'Yûko Ishiwa', 'Sachiko Oguri', 'Fujio Tokita', 'Michio Hino', 'Michio Kida', 'Noriko Honma', 'Haruko Tōgō', 'Reiko Nanao', 'Shin Tonomura', 'Junpei Natsuki', 'Shigeo Katō', 'Saburô Kadowaki', 'Goichi Nagatani', 'Shizuko Azuma', 'Yoshie Kihira', 'Yukie Shimura', 'Setsuko Kawaguchi', 'Kumeko Otowa', 'Masahiko Sakata']",4.21,nan,"['Drama', 'Fantasy']",119,"['USA', 'Japan']",Japanese,"['Japanese', 'French', 'English']",A collection of magical tales based upon the actual dreams of director Akira Kurosawa.,"['Warner Bros. Pictures', 'Akira Kurosawa USA']",102265,53379,41042,2900,70,184,183,808,1280,5255,9002,22096,13754,19165,71797,https://letterboxd.com/film/dreams/
Matango,nan,Ishirō Honda,"['Akira Kubo', 'Kumi Mizuno', 'Hiroshi Koizumi', 'Kenji Sahara', 'Hiroshi Tachikawa', 'Yoshio Tsuchiya', 'Miki Yashiro', 'Takuzō Kumagai', 'Yutaka Oka', 'Keisuke Yamada', 'Akio Kusama', 'Kazuo Higata', 'Katsumi Tezuka', 'Haruo Nakajima', 'Hideyo Amamoto', 'Tokio Ôkawa', 'Kōji Uruki', 'Masaki Shinohara', 'Kuniyoshi Kashima', 'Toku Ihara', 'Mitsuko Hayashi', 'Tsurue Ichimanji']",3.38,nan,"['Drama', 'Horror', 'Science Fiction', 'Thriller', 'Fantasy', 'Mystery']",89,['Japan'],Japanese,['Japanese'],Five vacationers and two crewmen become stranded on a tropical island near the equator. The island has little edible food for them to use as they try to live in a fungus covered hulk while repairing Kessei's yacht. Eventually they struggle over the food rations which were left behind by the former crew. Soon they discover something unfriendly there...,"['TOHO', 'Tokyo Laboratory']",7970,7095,2300,18,18,63,101,304,473,1451,1347,1299,276,311,5643,https://letterboxd.com/film/matango/
Frankenstein Conquers the World,nan,Ishirō Honda,"['Tadao Takashima', 'Nick Adams', 'Kumi Mizuno', 'Yoshio Tsuchiya', 'Koji Furuhata', 'Jun Tazaki', 'Susumu Fujita', 'Takashi Shimura', 'Nobuo Nakamura', 'Kenji Sahara', 'Hisaya Ito', 'Yoshifumi Tajima', 'Kōzō Nomura', 'Haruya Katō', 'Ikio Sawamura', 'Yoshio Kosugi', 'Keiko Sawai', 'Noriko Takahashi', 'Peter Mann', 'Ren Yamamoto', 'Yutaka Sada', 'Kenzō Tabu', 'Shigeki Ishida', 'Haruo Nakajima', 'Yutaka Nakayama', 'Senkichi Ōmura', 'Nadao Kirino', 'Shin Ōtomo', 'Shōichi Hirose', 'Toshihiko Furuta', 'Hideo Shibuya', 'Tadashi Okabe', 'Hideaki Nitani', 'Saburô Iketani', 'Kenichiro Kawaji', 'Kazuo Kumakura', 'Gorō Naya']",3.08,nan,"['Horror', 'Science Fiction']",90,['Japan'],Japanese,"['Japanese', 'English', 'German']","During WWII, Germans obtain the immortal heart of Frankenstein's monster and transport it to Japan to prevent it being seized by the Allies. Kept in a Hiroshima laboratory, it is seeming lost when the United States destroys the city with the atomic bomb. Years later a wild boy is discovered wandering the streets of the city alone, born of the immortal heart.","['TOHO', 'Henry G. Saperstein Enterprises Inc.']",5607,6062,1466,8,26,75,112,357,618,1323,768,483,100,123,3985,https://letterboxd.com/film/frankenstein-conquers-the-world/
Varan the Unbelievable,nan,"Jerry A. Baerwitz, Ishirō Honda","['Myron Healey', 'Tsuruko Kobayashi', 'Clifford Kawada', 'Derick Shimatsu', 'Koreya Senda', 'Kōzō Nomura', 'Ayumi Sonoda', 'Fumito Matsuo', 'Akihiko Hirata', 'Fuyuki Murakami', 'Yoshio Tsuchiya', 'Minosuke Yamada', 'Hisaya Ito', 'Yoshifumi Tajima', 'Nadao Kirino', 'Akira Sera', 'Akio Kusama', 'Noriko Honma', 'Akira Yamada', 'Fumindo Matsuo', 'Yoshikazu Kawamata', 'Yasuhiro Shigenobu', 'Shōichi Hirose', 'Takashi Itô', 'Hideo Shibuya', 'Toshitsugu Suzuki', 'Haruo Nakajima', 'Katsumi Tezuka']",2.35,nan,"['Horror', 'Science Fiction']",70,"['USA', 'Japan']",English,"['English', 'Japanese']","In an effort to find an economic means of purifying salt water, a joint U.S.-Japanese military command is set up on an isolated Japanese island where an unusual salt water lake is situated. However, their purifying experiments arouse the prehistoric monster Obaki from hibernation at the lake's bottom, and it proceeds to attack Japan. Although made by a U.S. independent film company, this film was based on a Japanese Toho monster film of 1958, ""Daikaiju Varan"", from which all of the monster effects scenes and a few incidental dramatic shots were edited into it.","['Cory Film Corporation', 'Dallas Production Inc.', 'Crown International Pictures', 'TOHO']",1731,1747,184,0,72,183,176,312,192,142,33,19,1,10,1140,https://letterboxd.com/film/varan-the-unbelievable/
The Mysterians,nan,Ishirō Honda,"['Kenji Sahara', 'Yumi Shirakawa', 'Akihiko Hirata', 'Momoko Kôchi', 'Yoshio Tsuchiya', 'Takashi Shimura', 'Yoshio Kosugi', 'Susumu Fujita', 'Fuyuki Murakami', 'Yutaka Sada', 'Hisaya Ito', 'Tetsu Nakamura', 'Sōji Ubukata', 'George Furness', 'Harold Conway', 'Heihachirō Ōkawa', 'Ren Imaizumi', 'Rikkie Sanjô', 'Tadao Nakamaru', 'Hideo Saeki', 'Takuzō Kumagai', 'Akio Kusama', 'Shin Ōtomo', 'Rinsaku Ogata', 'Takeo Oikawa', 'Mitsuo Tsuda', 'Kamayuki Tsubono', 'Senkichi Ōmura', 'Haruya Katō', 'Yasuhiro Shigenobu', 'Shōichi Hirose', 'Eisuke Nakanishi', 'Keiichirō Katsumoto', 'Jirô Mitsuaki', 'Ryûtarô Amami', 'Saburô Kadowaki', 'Masayoshi Kawabe', 'Mitsuo Matsumoto', 'Hideo Unagami', 'Katsumi Tezuka', 'Haruo Nakajima', 'Ikio Sawamura', 'Sachio Sakai', 'Gen Shimizu', 'Yasuhisa Tsutsumi', 'Jun Tazaki', 'Hideo Shibuya', 'Yoshifumi Tajima']",3.09,nan,"['Action', 'Science Fiction', 'Drama', 'Thriller', 'War']",89,['Japan'],Japanese,"['Japanese', 'English']","In Japan, scientifically advanced invaders from the war-destroyed planet Mysteroid cause an entire village to vanish, then send a giant robot out to storm the city by night, after which they request a small patch of land on Earth and the right to marry earthling women, claiming to be pacifists. Mankind must decide whether to capitulate or to resist.","['TOHO', 'Far East Laboratory']",4997,4430,1248,4,10,52,79,308,584,1355,730,416,48,77,3659,https://letterboxd.com/film/the-mysterians/
Space Amoeba,nan,Ishirō Honda,"['Akira Kubo', 'Yukiko Kobayashi', 'Atsuko Takahashi', 'Yoshio Tsuchiya', 'Tetsu Nakamura', 'Sachio Sakai', 'Kenji Sahara', 'Yū Fujiki', 'Noritake Saito', 'Chōtarō Tōgin', 'Wataru Ōmae', 'Yukihiko Gondō', 'Shigeo Katō', 'Rinsaku Ogata', 'Yûko Sugihara', 'Haruo Nakajima', 'Haruyoshi Nakamura']",2.94,nan,"['Adventure', 'Horror', 'Science Fiction']",84,['Japan'],Japanese,['Japanese'],"When a space probe crash-lands on a far-flung Pacific atoll, the craft's alien stowaways decide to take over their new world one creature at a time. Soon, the parasitic life forms latch onto three indigenous critters -- a squid, a crab and a snapping turtle -- and transform them into colossal mutant monsters.","['TOHO', 'Toho Eizo Bijutsu', 'Tokyo Laboratory']",3822,3922,881,5,19,58,118,347,525,1030,416,229,21,57,2820,https://letterboxd.com/film/space-amoeba/
The War of the Gargantuas,nan,Ishirō Honda,"['Kenji Sahara', 'Kumi Mizuno', 'Russ Tamblyn', 'Jun Tazaki', 'Kipp Hamilton', 'Yoshifumi Tajima', 'Nobuo Nakamura', 'Hisaya Ito', 'Nadao Kirino', 'Ren Yamamoto', 'Kōzō Nomura', 'Shōichi Hirose', 'Tadashi Okabe', 'Hideo Shibuya', 'Ikio Sawamura', 'Seishirō Kuno', 'Someshō Matsumoto', 'Gorō Mutsumi', 'Haruo Nakajima', 'Hiroshi Sekita', 'Yasuhiro Komiya', 'Kasei Kinoshita', 'Yū Fujiki']",3.19,nan,"['Science Fiction', 'Action', 'Horror']",88,"['Japan', 'USA']",Japanese,['Japanese'],"Gaira, a humanoid sea beast spawned from the discarded cells of Frankenstein's monster, attacks the shores of Tokyo. While the Japanese military prepares to take action, Gaira's Gargantua brother, Sanda, descends from the mountains to defend his kin. A battle between good and evil ensues, leaving brothers divided and a city in ruins.","['TOHO', 'Benedict Pictures Corp.', 'United Productions of America', 'Henry G. Saperstein Enterprises Inc.', 'Tokyo Laboratory']",8241,6855,2241,10,28,98,140,467,686,1821,1185,951,220,244,5840,https://letterboxd.com/film/the-war-of-the-gargantuas/
The H-Man,nan,Ishirō Honda,"['Akihiko Hirata', 'Kenji Sahara', 'Yumi Shirakawa', 'Eitarō Ozawa', 'Yoshifumi Tajima', 'Makoto Satō', 'Koreya Senda', 'Yoshio Tsuchiya', 'Kamayuki Tsubono', 'Tadao Nakamaru', 'Minosuke Yamada', 'Nadao Kirino', 'Ayumi Sonoda', 'Naomi Shiraishi', 'Haruya Katō', 'Yasuhiro Shigenobu', 'Toshiko Nakano', 'Tetsu Nakamura', 'Martha Miyake', 'Akira Sera', 'Shigeo Katō', 'Machiko Kitagawa', 'Jun Fujio', 'Ren Yamamoto', 'Hisaya Ito', 'Yutaka Nakayama', 'Kō Mishima', 'Akira Yamada', 'Yōsuke Natsuki', 'Yoshiko Ieda', 'Yutaka Sada', 'Shin Ōtomo', 'Kan Hayashi', 'Sōji Ubukata', 'Mitsuo Tsuda', 'Akio Kusama', 'Shirō Tsuchiya', 'Katsumi Tezuka', 'Senkichi Ōmura', 'Haruo Nakajima', 'Hiroshi Akitsu', 'Toku Ihara', 'Ryûtarô Amami', 'Yutaka Oka', 'Shōichi Hirose', 'Takuzō Kumagai', 'Ichirō Chiba', 'Kenzo Echigo', 'Yukihiko Gondō', 'Minoru Itō', 'Yoshio Katsube', 'Kô Hayami', 'Saburô Iketani', 'Keiichirō Katsumoto', 'Masayoshi Kawabe', 'Kawamata Kiichi', 'Rinsaku Ogata', 'Hiromi Mineoka', 'Yasuzō Ogawa', 'Masaki Shinohara', 'Akira Kitchôji', 'Kazuo Hinata', 'Shin Yoshida', 'Jirô Suzukawa', 'Kazuo Imai', 'Kōji Iwamoto', 'Hiroyuki Satake', 'Masaaki Tachibana', 'Ikuo Kawamura', 'Mitsuo Matsumoto', 'Jirô Mitsuaki', 'Eisuke Nakanishi', 'Takashi Narita', 'Matsue Ono', 'Keiji Sakakida', 'Haruya Sakamoto', 'Hideo Shibuya', 'Ryôji Shimizu', 'Shigemi Sunagawa', 'Yoshiyuki Uemura', 'Takuya Yuki', 'Haruo Suzuki', 'Kōji Uruki', 'Kreisuke Yamada', 'Yasumasa Ônishi', 'Moori Yukiko']",3.04,nan,"['Science Fiction', 'Horror']",87,['Japan'],Japanese,['Japanese'],Nuclear tests create a radioactive man who can turn people into slime.,"['TOHO', 'Far East Laboratory']",2865,3183,624,1,6,20,53,182,301,783,450,212,26,29,2062,https://letterboxd.com/film/the-h-man/
Mothra,nan,Ishirō Honda,"['Frankie Sakai', 'Hiroshi Koizumi', 'Kyōko Kagawa', 'Jerry Itō', 'Ken Uehara', 'Emi Ito', 'Yumi Ito', 'Takashi Shimura', 'Akihiro Tayama', 'Akihiko Hirata', 'Tetsu Nakamura', 'Obel Wyatt', 'Seizaburō Kawazu', 'Yoshifumi Tajima', 'Robert Dunham', 'Kenji Sahara', 'Yoshio Kosugi', 'Ren Yamamoto', 'Haruya Katō', 'Shōichi Hirose', 'Hiroshi Takagi', 'Yasuhisa Tsutsumi', 'Teruko Mita', 'Kōji Iwamoto', 'Mitsuo Tsuda', 'Masamitsu Tayama', 'Toshio Miura', 'Tadashi Okabe', 'Akira Wakamatsu', 'Yutaka Nakayama', 'Osman Yusuf', 'Akira Yamada', 'Kôji Uno', 'Wataru Ōmae', 'Toshihiko Furuta', 'Keisuke Matsuyama', 'Takeo Nagashima', 'Mitsuo Matsumoto', 'Hideo Shibuya', 'Kazuo Hinata', 'Shigeo Katō', 'Rinsaku Ogata', 'Yutaka Oka', 'Kô Hayami', 'Hiroyuki Satake', 'Kazuo Imai', 'Hiroshi Akitsu', 'Akio Kusama', 'Gorô Sakurai', 'Haruo Nakajima', 'Katsumi Tezuka']",3.5,nan,"['Science Fiction', 'Adventure', 'Fantasy']",101,['Japan'],Japanese,"['Japanese', 'English']","Shipwreck survivors found on the presumably uninhabited Infant Island leads to a scientific expedition that discovers a surviving native population along with the Shobijin, tiny twin fairy priestesses of the island's mythical deity called Mothra. After the fairies are kidnapped by an exploitative businessman named Clark Nelson, Mothra sets out to rescue them.","['TOHO', 'Far East Laboratory']",21077,12388,6596,60,25,83,131,501,861,3408,3614,3834,826,913,14196,https://letterboxd.com/film/mothra/
Rodan,nan,Ishirō Honda,"['Kenji Sahara', 'Yumi Shirakawa', 'Akihiko Hirata', 'Minosuke Yamada', 'Yoshifumi Tajima', 'Akio Kobori', 'Mitsuo Tsuda', 'Ren Imaizumi', ""Jun'ichirō Mukai"", 'Rinsaku Ogata', 'Ichirō Chiba', 'Tsurue Ichimanji', 'Tateo Kawasaki', 'Kanta Kisaragi', 'Tsuruko Mano', 'Jirô Suzukawa', 'Yasuhiro Shigenobu', 'Keiji Sakakida', 'Ichirō Nakatani', 'Kiyoshi Takagi', 'Fuyuki Murakami', 'Mitsuo Matsumoto', 'Takuzō Kumagai', 'Yasuhisa Tsutsumi', 'Yutaka Oka', 'Shigemi Sunagawa', 'Katsumi Tezuka', 'Haruo Nakajima', 'Shōichi Hirose', 'Saburô Kadowaki', 'Yasuko Nakada', 'Junnosuke Suda', 'Toshiko Nakano', 'Saburô Iketani', 'Saeko Kuroiwa', 'Bontarō Taira', 'Keiichirō Katsumoto', 'Kamayuki Tsubono', 'Mike Daneen', 'Masaaki Tachibana', 'Tadashi Okabe', 'Kôji Uno', 'Akira Yamada', 'Ren Yamamoto', 'Tokio Ôkawa', 'Seiji Onaka']",3.21,nan,"['Science Fiction', 'Horror']",72,['Japan'],Japanese,"['Japanese', 'Chinese', 'Tagalog']","Mining engineer Shigeru investigates the disappearance and death of his fellow coworkers when prehistoric nymphs are discovered emerging from the mines. After an attack on the local village, Shigeru heads deeper into the mines only to make a more horrifying discovery in the form a prehistoric flying creature. Soon a second monster appears as the two converge in Fukuoka.","['TOHO', 'Far East Laboratory']",17330,10049,4601,17,23,95,190,780,1478,4279,2881,1896,293,396,12311,https://letterboxd.com/film/rodan/
Battle in Outer Space,nan,Ishirō Honda,"['Koreya Senda', 'Ryō Ikebe', 'Kyōko Anzai', 'Yoshio Tsuchiya', 'Leonard Stanford', 'Harold Conway', 'Hisaya Ito', 'Minoru Takada', 'Nadao Kirino', 'Fuyuki Murakami', 'Malcolm Pearce', 'Leonard Walsh', 'Kōzō Nomura', 'Ikio Sawamura', 'Tadashi Okabe', 'Elsie Richter', 'Takuzō Kumagai', 'Katsumi Tezuka', 'Mitsuo Tsuda', 'Osman Yusuf', 'George Whyman', 'Yasuhisa Tsutsumi', 'Dona Carlson', 'Kisao Hatamochi', 'Yasuo Araki', 'Heinz Bodmer', 'Rinsaku Ogata', 'Shigeo Katō', 'Saburô Kadowaki', 'Keisuke Yamada', 'Yukihiko Gondō', 'Koji Kamimura', 'Shinjirô Hirota']",2.93,nan,"['Action', 'Science Fiction']",90,['Japan'],Japanese,"['Japanese', 'German', 'English']","In 1965, the space station JSS-3 is destroyed by a fleet of UFOs, which then begin a global siege on Earth, using rays to manipulate gravity and control the minds of men. In response, a global council meeting is held to determine the source of the attacks and prepare a rocket ship armada for a counter-attack, a true battle in outer space. . . The film is a sequel of sorts to Toho's THE MYSTERIANS in the reprise of the Etsuko Shiraishi character of that film as its heroine. It was edited to 74 minutes for its American release.","['TOHO', 'Far East Laboratory']",2848,3123,546,0,14,62,69,236,434,720,303,154,27,25,2044,https://letterboxd.com/film/battle-in-outer-space/
Gorath,nan,Ishirō Honda,"['Ryō Ikebe', 'Yumi Shirakawa', 'Akira Kubo', 'Kumi Mizuno', 'Hiroshi Tachikawa', 'Akihiko Hirata', 'Kenji Sahara', 'Jun Tazaki', 'Ken Uehara', 'Takashi Shimura', 'Seizaburō Kawazu', 'Kō Mishima', 'Sachio Sakai', 'Takamaru Sasaki', 'Kō Nishimura', 'Eitarō Ozawa', 'Kōzō Nomura', 'Keiko Sata', 'Hideyo Amamoto', 'George Furness', 'Ross Benette', ""Jun'ichirō Mukai"", 'Nadao Kirino', 'Fumio Sakashita', 'Ikio Sawamura', 'Toshihiko Furuta', 'Yoshiyuki Uemura', 'Rinsaku Ogata', 'Masayoshi Kawabe', 'Yasushi Matsubara', 'Tadashi Okabe', 'Kôji Uno', 'Yukihiko Gondō', ""Ken'ichirō Maruyama"", 'Yasuhiko Saijō', 'Katsumi Tezuka', 'Akira Yamada', 'Hiroshi Takagi', 'Toshitsugu Suzuki', 'Wataru Ōmae', 'Ichirō Shōji', 'Yasuo Araki', 'Hideo Shibuya', 'Kazuo Imai', 'Takuya Yuki', 'Yusuke Suzuki', 'Takuzō Kumagai', 'Hiroshi Akitsu', 'Enver Altenbay', 'Ryûtarô Amami', 'Henrî Ban', 'Hank Brown', 'Ichirō Chiba', 'Kenzo Echigo', 'Bin Furuya', 'Ted Gunther', 'Shinjirô Hirota', 'Hans Horneff', 'Tsurue Ichimanji', 'Toku Ihara', 'Saburô Iketani', 'Minoru Itō', 'Ralph Jesser', 'Saburô Kadowaki', 'Kuniyoshi Kashima', 'Yoshio Katsube', 'Keiichirō Katsumoto', 'Shigeo Katō', 'Ikuo Kawamura', 'Akira Kitchôji', 'Akio Kusama', 'Ed Keane', 'Someshō Matsumoto', 'Masahide Matsushita', 'Jirô Mitsuaki', 'Takashi Narita', 'Junpei Natsuki', 'Yutaka Oka', 'Keiji Sakakida', 'Haruya Sakamoto', 'Ryôji Shimizu', 'Junnosuke Suda', 'Haruo Suzuki', 'Kamayuki Tsubono', 'Keisuke Yamada', 'Shin Yoshida', 'Osman Yusuf', 'Yasumasa Ônishi', 'Hideo Ôtsuka', 'Haruo Nakajima', 'Kōji Suzuki', 'Masaya Nihei']",2.91,nan,"['Thriller', 'Action', 'Science Fiction']",88,['Japan'],Japanese,"['Japanese', 'English', 'Chinese', 'Indonesian', 'Italian', 'Russian']","In 1976, a drifting star named Gorath is discovered to be on a collision course with Earth. Although it is smaller than Earth, its enormous mass is enough to destroy the planet totally. A mission sent to observe Gorath is destroyed after the ship is drawn into the star, with a later mission barely escaping the same fate. However, Astronaut Tatsuma Kanai is left in a catatonic state due to his near death experience. Unable to destroy the invading star, Earth's scientists undertake a desperate plan to build giant rockets at the South Pole to move the planet out of Gorath's path before it is too late.","['TOHO', 'Tokyo Laboratory']",2022,2501,397,2,12,44,74,196,304,461,236,115,16,19,1477,https://letterboxd.com/film/gorath/
Atragon,nan,Ishirō Honda,"['Tadao Takashima', 'Yōko Fujiyama', 'Yū Fujiki', 'Kenji Sahara', 'Ken Uehara', 'Hiroshi Koizumi', 'Jun Tazaki', 'Yoshifumi Tajima', 'Akihiko Hirata', 'Hideyo Amamoto', 'Susumu Fujita', 'Minoru Takada', 'Hisaya Ito', 'Ikio Sawamura', 'Tetsuko Kobayashi', 'Akemi Kita', 'Hiroshi Hasegawa', 'Nadao Kirino', 'Shin Ōtomo', 'Haruya Sakamoto', 'Tetsu Nakamura', 'Yutaka Nakayama', 'Mitsuo Tsuda', 'Kôji Uno', 'Sadako Amemiya', 'Rinsaku Ogata', 'Hideo Ôtsuka', 'Yutaka Oka', 'Yukihiko Gondō', 'Shōichi Hirose', 'Katsumi Tezuka', 'Takuzō Kumagai', 'Yasuzō Ogawa', 'Shirō Tsuchiya', 'Wataru Ōmae', 'Osman Yusuf', 'Toshio Miura', 'Masayoshi Kawabe', 'Hiroshi Akitsu', 'Hideo Shibuya', 'Keisuke Yamada', 'Shinjirô Hirota', 'Keisuke Yamaji', 'Kuniyoshi Kashima', 'Hal Archer', 'Sanjay Mamohan Berry', 'Bin Furuya', 'Kazuo Hinata', 'Eisaburo Komatsu', 'Akio Kusama', 'Keiji Sakakida', 'Kamayuki Tsubono', 'Enver Altenbay', 'Ralph Jesser', 'Haruo Nakajima']",2.95,nan,"['Fantasy', 'Action', 'Science Fiction', 'Adventure']",96,['Japan'],Japanese,['Japanese'],"The legendary empire of the lost continent of Mu reappears to threaten the world with domination. While countries unite to resist, an isolated World War II Captain has created the greatest warship ever seen, and possibly the surface world's only defense.","['American International Pictures', 'TOHO']",4035,3917,872,3,23,77,112,375,588,1019,463,248,35,63,3003,https://letterboxd.com/film/atragon/
Latitude Zero,nan,Ishirō Honda,"['Joseph Cotten', 'Cesar Romero', 'Akira Takarada', 'Patricia Medina', 'Masumi Okada', 'Richard Jaeckel', 'Tetsu Nakamura', 'Mari Nakayama', 'Akihiko Hirata', 'Hikaru Kuroki', 'Linda Haynes', 'Susumu Kurobe', 'Burr Middleton', 'Haruo Nakajima', 'Osman Yusuf', 'Wataru Ōmae']",3.13,nan,"['Action', 'Adventure', 'Science Fiction']",89,"['Japan', 'USA']",English,['English'],"A massive underwater volcano erupts and puts a group of investigative scientists in danger. They are rescued by an atomic super submarine named The Alpha under the command of Captain McKenzie. The group is quickly taken to a vast underwater city known as Latitude Zero, a fantastic, Atlantean type utopia, a world beneath the ocean with its own sun. It is soon discovered that Captain McKenzie is at war with the evil Dr. Malic, a cruel scientist who wishes to rule mankind all the while conducting genetic experiments on humans and animals. Malic sends his agents to kidnap Dr. Okada, a human scientist who has created a serum that can immunize exposure to radiation.","['Ambassador Productions', 'Don Sharpe Enterprises', 'National General Pictures', 'TOHO', 'Tokyo Laboratory']",1658,2263,382,0,6,16,42,110,174,402,220,133,17,28,1148,https://letterboxd.com/film/latitude-zero/
The Human Vapor,nan,Ishirō Honda,"['Yoshio Tsuchiya', 'Kaoru Yachigusa', 'Tatsuya Mihashi', 'Keiko Sata', 'Bokuzen Hidari', 'Yoshifumi Tajima', 'Hisaya Ito', 'Tatsuo Matsumura', 'Fuyuki Murakami', 'Yoshio Kosugi', 'Kō Mishima', 'Takamaru Sasaki', 'Kōzō Nomura', 'Someshō Matsumoto', 'Ren Yamamoto', 'Takuzō Kumagai', 'Kamayuki Tsubono', 'Yasuhisa Tsutsumi', 'Shōichi Hirose', 'Tetsu Nakamura', 'Minosuke Yamada', 'Yutaka Oka', 'Yukihiko Gondō', 'Akio Kusama', 'Mitsuo Matsumoto', 'Hideo Shibuya', 'Junpei Natsuki', 'Haruo Nakajima', 'Yoyo Miyata', 'Akira Yamada', 'Rinsaku Ogata', 'Keiji Sakakida', 'Keisuke Yamada', 'Kôichi Satô', 'Hiroshi Akitsu', 'Masaaki Tachibana', 'Tadahiko Kuroda', 'Tamami Fujino', 'Minoru Itō', 'Wataru Ōmae', 'Kô Hayami', 'Jirô Suzukawa', 'Shinjirô Hirota', 'Kichishirô Fujitaya', 'Shôtarô Kashiwa', 'Kojûrô Kineya', 'Kyûtarô Yoshimura', 'Katsushirô Kineya', 'Wakisuke Kineya', 'Washiyuki Kineya', 'Washisaburô Kineya', 'Wanosuke Kineya', 'Nobuhide Hôsei', 'Kishirô Katada', 'Kisaburô Katada', 'Kisaku Katada', 'Hiroshi Fukuhara', 'Yasuaki Shinkô', 'Toki Shiozawa', 'James Hong']",3.36,nan,"['Crime', 'Science Fiction', 'Thriller', 'Drama', 'Romance', 'Horror']",92,['Japan'],Japanese,['Japanese'],"A librarian is subject to a scientific experiment which goes wrong and transforms him into 'The Human Vapour'. He uses his new ability to rob banks to fund the career of his girlfriend, a beautiful dancer. The Human Vapour is ruthless in his quest for money and kills anyone who stands in his way, especially police. He soon becomes Tokyo's most wanted criminal. Can he be stopped before he kills again?","['TOHO', 'Tokyo Laboratory']",864,1327,220,0,3,4,9,40,64,184,132,119,20,39,614,https://letterboxd.com/film/the-human-vapor/
Half Human,nan,Ishirō Honda,"['Akira Takarada', 'Akemi Negishi', 'Momoko Kôchi', 'Nobuo Nakamura', 'Sachio Sakai', 'Yoshio Kosugi', 'Kenji Kasahara', 'Toshitsugu Suzuki', 'Ren Yamamoto', 'Akira Sera', 'Yasuhisa Tsutsumi', 'Tadashi Okabe', 'Akira Yamada', 'Fuminori Ōhashi', 'Takashi Itô', 'Ichirō Chiba', 'Kokuten Kōdō', 'Takuzō Kumagai', 'Shigemi Sunagawa', 'Senkichi Ōmura', 'Shigeo Katō', 'Akio Kusama', 'Keiichirō Katsumoto', 'Tsurue Ichimanji', 'Kyōko Ozawa', 'Akira Kitchôji', 'Hiroshi Akitsu', 'Rinsaku Ogata', 'Kamayuki Tsubono', 'Etsuo Saijo', 'Shōichi Hirose', 'Kihachi Okamoto', 'Ryûtarô Amami', 'Kenzo Echigo', 'Toku Ihara', 'Kawamata Kiichi', 'Eisuke Nakanishi', 'Jirô Suzukawa', 'Masaaki Tachibana', 'Hideo Ôtsuka', 'Haruo Nakajima', 'Yasumasa Ônishi', 'Akira Tani', 'Yutaka Nakayama', 'Kazuo Hinata']",2.86,nan,"['Science Fiction', 'Adventure', 'Horror']",94,['Japan'],Japanese,['Japanese'],Three competing parties all race against time to track down an elusive creature known only as the Snowman.,"['TOHO', 'Toho Laboratory']",845,1562,101,0,16,39,82,136,157,128,45,19,2,8,632,https://letterboxd.com/film/half-human-1955/
